singular,plural,past
ovals,oval,ovaled
over shoots,overshoot,over shot
over-eats,overeat,over-ate
over-writes,overwrite,over-wrote
overacts,overact,overacted
overawes,overawe,overawed
overbalances,overbalance,overbalanced
overbears,overbear,overbore
overbooks,overbook,overbooked
overburdens,overburden,overburdened
overcasts,overcast,overcasted
overcharges,overcharge,overcharged
overcoats,overcoat,overcoated
overcomes,overcome,overcame
overcompensates,overcompensate,overcompensated
overcooks,overcook,overcooked
overcrowds,overcrowd,overcrowded
overdoes,overdo,overdid
overdoses,overdose,overdosed
overdraws,overdraw,overdrew
overdresses,overdress,overdressed
overdrives,overdrive,overdrove
overemphasizes,overemphasize,overemphasized
overestimates,overestimate,overestimated
overexposes,overexpose,overexposed
overextends,overextend,overextended
overflows,overflow,overflowed
overgrows,overgrow,overgrew
overhands,overhand,overhanded
overhangs,overhang,overhung
overhauls,overhaul,overhauled
overhears,overhear,overheard
overheats,overheat,overheated
overindulges,overindulge,overindulged
overlaps,overlap,overlapped
overlays,overlay,overlaid
overlies,overlie,overlay
overloads,overload,overloaded
overlooks,overlook,overlooked
overpasses,overpass,overpassed
overpays,overpay,overpaid
overplays,overplay,overplayed
overpopulates,overpopulate,overpopulated
overpowers,overpower,overpowered
overprints,overprint,overprinted
overproduces,overproduce,overproduced
overrates,overrate,overrated
overreaches,overreach,overreached
overrides,override,overrode
overrules,overrule,overruled
overruns,overrun,overran
overs,over,overed
oversees,oversee,oversaw
oversells,oversell,oversold
overshadows,overshadow,overshadowed
oversimplifies,oversimplify,oversimplified
oversizes,oversize,oversized
oversleeps,oversleep,overslept
overspecializes,overspecialize,overspecialized
overspends,overspend,overspended
overspreads,overspread,overspread
overstates,overstate,overstated
overstays,overstay,overstayed
oversteps,overstep,overstepped
overstocks,overstock,overstocked
overtakes,overtake,overtook
overtaxes,overtax,overtaxed
overthrows,overthrow,overthrew
overtures,overture,overtured
overturns,overturn,overturned
overuses,overuse,overused
overviews,overview,overviewed
overweights,overweight,overweighted
overwhelms,overwhelm,overwhelmed
overworks,overwork,overworked
ovulates,ovulate,ovulated
owes,owe,owed
owns,own,owned
oxidizes,oxidize,oxidized
oxygenates,oxygenate,oxygenated
paces,pace,paced
pacifies,pacify,pacified
packages,package,packaged
packets,packet,packeted
packs,pack,packed
paddles,paddle,paddled
padlocks,padlock,padlocked
pads,pad,padded
pages,page,paged
paginates,paginate,paginated
pails,pail,pailed
pains,pain,pained
paints,paint,painted
pairs,pair,paired
palates,palate,palated
pales,pale,paled
palisades,palisade,palisaded
palliates,palliate,palliated
palls,pall,palled
palms,palm,palmed
palpates,palpate,palpated
palpitates,palpitate,palpitated
pals,pal,paled
pampers,pamper,pampered
pamphleteers,pamphleteer,pamphleteered
pancakes,pancake,pancaked
panders,pander,pandered
panels,panel,panelled
pangs,pang,panged
panhandles,panhandle,panhandled
panics,panic,panicked
pans,pan,panned
pantomimes,pantomime,pantomimed
pants,pant,panted
papers,paper,papered
parachutes,parachute,parachuted
parades,parade,paraded
paragraphs,paragraph,paragraphed
parallels,parallel,paralleled
paralyses,paralyse,paralysed
paralyzes,paralyze,paralyzed
paraphrases,paraphrase,paraphrased
parasites,parasite,parasited
parasols,parasol,parasoled
parboils,parboil,parboiled
parcels,parcel,parceled
parches,parch,parched
pardons,pardon,pardoned
parenthesizes,parenthesize,parenthesized
pares,pare,pared
parks,park,parked
parlays,parlay,parlayed
parleys,parley,parleyed
parodies,parody,parodied
paroles,parole,paroled
parries,parry,parried
parrots,parrot,parroted
parses,parse,parsed
partakes,partake,partook
participates,participate,participated
particularizes,particularize,particularized
particulates,particulate,particulated
parties,party,partied
partitions,partition,partitioned
partners,partner,partnered
parts,part,parted
passes,pass,passed
pastes,paste,pasted
pasteurizes,pasteurize,pasteurized
pastors,pastor,pastored
pastures,pasture,pastured
patches,patch,patched
patents,patent,patented
patrols,patrol,patrolled
patronizes,patronize,patronized
pats,pat,patted
patterns,pattern,patterned
patters,patter,pattered
pauperizes,pauperize,pauperized
pauses,pause,paused
paves,pave,paved
pawns,pawn,pawned
paws,paw,pawed
pays,pay,paid
peaks,peak,peaked
peals,peal,pealed
pearls,pearl,pearled
pebbles,pebble,pebbled
pecks,peck,pecked
pedals,pedal,pedaled
peddles,peddle,peddled
pedestrianizes,pedestrianize,pedestrianized
peeks,peek,peeked
peels,peel,peeled
peeps,peep,peeped
peers,peer,peered
pees,pee,peed
pegs,peg,pegged
pellets,pellet,pelleted
pelts,pelt,pelted
penalizes,penalize,penalized
pencils,pencil,pencilled
penetrates,penetrate,penetrated
pens,pen,penned
pensions,pension,pensioned
peoples,people,peopled
peppers,pepper,peppered
peps,pep,pepped
perambulates,perambulate,perambulated
perceives,perceive,perceived
perches,perch,perched
percolates,percolate,percolated
perfects,perfect,perfected
perforates,perforate,perforated
performs,perform,performed
perfumes,perfume,perfumed
perishes,perish,perished
perjures,perjure,perjured
perks,perk,perked
permeates,permeate,permeated
permits,permit,permitted
perms,perm,permed
permutes,permute,permuted
peroxides,peroxide,peroxided
perpetrates,perpetrate,perpetrated
perpetuates,perpetuate,perpetuated
perplexes,perplex,perplexed
persecutes,persecute,persecuted
perseveres,persevere,persevered
persists,persist,persisted
personalizes,personalize,personalized
personifies,personify,personified
perspires,perspire,perspired
persuades,persuade,persuaded
pertains,pertain,pertained
perturbs,perturb,perturbed
peruses,peruse,perused
pervades,pervade,pervaded
perverts,pervert,perverted
pesters,pester,pestered
pestles,pestle,pestled
peters,peter,petered
petitions,petition,petitioned
petrifies,petrify,petrified
pets,pet,petted
phases,phase,phased
phenotypes,phenotype,phenotyped
philanders,philander,philandered
philosophizes,philosophize,philosophized
phones,phone,phoned
photocopies,photocopy,photocopied
photographs,photograph,photographed
phrases,phrase,phrased
physics,physic,physicked
pickets,picket,picketed
pickles,pickle,pickled
picks,pick,picked
picnics,picnic,picnicked
pictures,picture,pictured
pieces,piece,pieced
pierces,pierce,pierced
pigeonholes,pigeonhole,pigeonholed
pigments,pigment,pigmented
piles,pile,piled
pilfers,pilfer,pilfered
pillages,pillage,pillaged
pillars,pillar,pillared
pillows,pillow,pillowed
pills,pill,pilled
pilots,pilot,piloted
pimps,pimp,pimped
pinches,pinch,pinched
pines,pine,pined
pings,ping,pinged
pinions,pinion,pinioned
pinks,pink,pinked
pinpoints,pinpoint,pinpointed
pins,pin,pinned
pioneers,pioneer,pioneered
pipes,pipe,piped
pips,pip,pipped
piques,pique,piqued
pirates,pirate,pirated
pirouettes,pirouette,pirouetted
pisses,piss,pissed
pistons,piston,pistoned
pitches,pitch,pitched
pitchforks,pitchfork,pitchforked
piths,pith,pithed
pities,pity,pitied
pits,pit,pitted
pivots,pivot,pivoted
placates,placate,placated
placers,placer,placered
places,place,placed
plagiarizes,plagiarize,plagiarized
plagues,plague,plagued
plaits,plait,plaited
planes,plane,planed
planks,plank,planked
plans,plan,planned
plants,plant,planted
plaques,plaque,plaqued
plasters,plaster,plastered
plateaus,plateau,plateaued
plates,plate,plated
plays,play,played
pleads,plead,pleaded
pleases,please,pleased
pleasures,pleasure,pleasured
pleats,pleat,pleated
pledges,pledge,pledged
plies,ply,plied
plods,plod,plodded
plops,plop,plopped
plots,plot,plotted
ploughs,plough,ploughed
plows,plow,plowed
plucks,pluck,plucked
plugs,plug,plugged
plumbs,plumb,plumbed
plumes,plume,plumed
plummets,plummet,plummeted
plumps,plump,plumped
plunders,plunder,plundered
plunges,plunge,plunged
pluralizes,pluralize,pluralized
poaches,poach,poached
pockets,pocket,pocketed
pods,pod,podded
points,point,pointed
poises,poise,poised
poisons,poison,poisoned
pokes,poke,poked
polarizes,polarize,polarized
poles,pole,poled
polices,police,policed
polishes,polish,polished
politicizes,politicize,politicized
pollinates,pollinate,pollinated
polls,poll,polled
pollutes,pollute,polluted
pomades,pomade,pomaded
pommels,pommel,pommelled
ponders,ponder,pondered
ponds,pond,ponded
poniards,poniard,poniarded
pontificates,pontificate,pontificated
pooches,pooch,pooched
pools,pool,pooled
poops,poop,pooped
pops,pop,popped
popularizes,popularize,popularized
populates,populate,populated
pores,pore,pored
porpoises,porpoise,porpoised
portends,portend,portended
portions,portion,portioned
portrays,portray,portrayed
ports,port,ported
poses,pose,posed
positions,position,positioned
posits,posit,posited
possesses,possess,possessed
postdates,postdate,postdated
postmarks,postmark,postmarked
postpones,postpone,postponed
posts,post,posted
postulates,postulate,postulated
postures,posture,postured
pots,pot,potted
potters,potter,pottered
pouches,pouch,pouched
poultices,poultice,poulticed
pounces,pounce,pounced
pounds,pound,pounded
pours,pour,poured
pouts,pout,pouted
powders,powder,powdered
powers,power,powered
powwows,powwow,powwowed
practices,practice,practiced
praises,praise,praised
prances,prance,pranced
prates,prate,prated
prattles,prattle,prattled
prawns,prawn,prawned
prays,pray,prayed
pre-pays,prepay,prepaid
pre-sets,preset,pre-set
preaches,preach,preached
prearranges,prearrange,prearranged
precautions,precaution,precautioned
precedes,precede,preceded
preceptors,preceptor,preceptored
precepts,precept,precepted
precipitates,precipitate,precipitated
precises,precise,precised
precludes,preclude,precluded
preconceives,preconceive,preconceived
preconditions,precondition,preconditioned
predates,predate,predated
predeceases,predecease,predeceased
predestines,predestine,predestined
predetermines,predetermine,predetermined
predicates,predicate,predicated
predicts,predict,predicted
predisposes,predispose,predisposed
predominates,predominate,predominated
preens,preen,preened
prefabricates,prefabricate,prefabricated
prefaces,preface,prefaced
preferments,preferment,prefermented
prefers,prefer,preferred
prefigures,prefigure,prefigured
prefixes,prefix,prefixed
preheats,preheat,preheated
prejudges,prejudge,prejudged
prejudices,prejudice,prejudiced
preludes,prelude,preluded
premeditates,premeditate,premeditated
premieres,premiere,premiered
premiers,premier,premiered
premises,premise,premised
premisses,premiss,premissed
preoccupies,preoccupy,preoccupied
preordains,preordain,preordained
prepares,prepare,prepared
preponderates,preponderate,preponderated
prepossesses,prepossess,prepossessed
preregisters,preregister,preregistered
presages,presage,presaged
prescribes,prescribe,prescribed
presents,present,presented
preserves,preserve,preserved
presides,preside,presided
presses,press,pressed
pressures,pressure,pressured
pressurizes,pressurize,pressurized
presumes,presume,presumed
presupposes,presuppose,presupposed
pretends,pretend,pretended
pretensions,pretension,pretensioned
prettifies,prettify,prettified
prevails,prevail,prevailed
prevaricates,prevaricate,prevaricated
prevents,prevent,prevented
previews,preview,previewed
preys,prey,preyed
prices,price,priced
prickles,prickle,prickled
pricks,prick,pricked
prides,pride,prided
pries,pry,pried
primes,prime,primed
primps,primp,primped
prints,print,printed
privileges,privilege,privileged
prizes,prize,prized
probates,probate,probated
probes,probe,probed
proceeds,proceed,proceeded
processes,process,processed
proclaims,proclaim,proclaimed
procrastinates,procrastinate,procrastinated
procreates,procreate,procreated
proctors,proctor,proctored
procures,procure,procured
prods,prod,prodded
produces,produce,produced
products,product,producted
profanes,profane,profaned
professes,profess,professed
proffers,proffer,proffered
profiles,profile,profiled
profiteers,profiteer,profiteered
profits,profit,profited
prognosticates,prognosticate,prognosticated
programs,program,programed
progresses,progress,progressed
prohibits,prohibit,prohibited
projects,project,projected
proliferates,proliferate,proliferated
prolongs,prolong,prolonged
promenades,promenade,promenaded
promises,promise,promised
promotes,promote,promoted
prompts,prompt,prompted
promulgates,promulgate,promulgated
prongs,prong,pronged
pronounces,pronounce,pronounced
proof reads,proofread,proof read
proofs,proof,proofed
propagandizes,propagandize,propagandized
propagates,propagate,propagated
prophesies,prophesy,prophesied
propitiates,propitiate,propitiated
proportionates,proportionate,proportionated
proportions,proportion,proportioned
proposes,propose,proposed
propositions,proposition,propositioned
propounds,propound,propounded
props,prop,propped
prorates,prorate,prorated
proscribes,proscribe,proscribed
prosecutes,prosecute,prosecuted
proselytizes,proselytize,proselytized
prospects,prospect,prospected
prospers,prosper,prospered
prostitutes,prostitute,prostituted
prostrates,prostrate,prostrated
protects,protect,protected
protests,protest,protested
protocols,protocol,protocoled
prototypes,prototype,prototyped
protracts,protract,protracted
protrudes,protrude,protruded
proves,prove,proved
provides,provide,provided
provisions,provision,provisioned
provokes,provoke,provoked
prowls,prowl,prowled
prunes,prune,pruned
psyches,psych,psyched
psychoanalyzes,psychoanalyze,psychoanalyzed
publicizes,publicize,publicized
publishes,publish,published
puckers,pucker,puckered
puddles,puddle,puddled
puffs,puff,puffed
pukes,puke,puked
pulls,pull,pulled
pulps,pulp,pulped
pulsates,pulsate,pulsated
pulses,pulse,pulsed
pulverizes,pulverize,pulverized
pumices,pumice,pumiced
pummels,pummel,pummeled
pumps,pump,pumped
punches,punch,punched
punctuates,punctuate,punctuated
punctures,puncture,punctured
punishes,punish,punished
puns,pun,punned
punts,punt,punted
pups,pup,pupped
purchases,purchase,purchased
purees,puree,pureed
purges,purge,purged
purifies,purify,purified
purloins,purloin,purloined
purls,purl,purled
purports,purport,purported
purposes,purpose,purposed
purrs,purr,purred
purses,purse,pursed
pursues,pursue,pursued
purveys,purvey,purveyed
pushes,push,pushed
pussyfoots,pussyfoot,pussyfooted
putrefies,putrefy,putrefied
puts,put,put
putters,putter,puttered
putties,putty,puttied
putts,putt,putted
puzzles,puzzle,puzzled
quacks,quack,quacked
quadruples,quadruple,quadrupled
quadruplicates,quadruplicate,quadruplicated
quads,quad,quadded
quaffs,quaff,quaffed
quails,quail,quailed
quakes,quake,quaked
qualifies,qualify,qualified
quantifies,quantify,quantified
quarantines,quarantine,quarantined
quarks,quark,quarked
quarrels,quarrel,quarrelled
quarries,quarry,quarried
quarterbacks,quarterback,quarterbacked
quarters,quarter,quartered
quashes,quash,quashed
quavers,quaver,quavered
queens,queen,queened
queers,queer,queered
quells,quell,quelled
quenches,quench,quenched
queries,query,queried
questionnaires,questionnaire,questionnaired
questions,question,questioned
quests,quest,quested
queues,queue,queued
quibbles,quibble,quibbled
quickens,quicken,quickened
quids,quid,quidded
quiets,quiet,quieted
quilts,quilt,quilted
quintuples,quintuple,quintupled
quips,quip,quipped
quits,quit,quit
quivers,quiver,quivered
quizzes,quiz,quizzed
quotes,quote,quoted
rabbits,rabbit,rabbitted
races,race,raced
racks,rack,racked
radiates,radiate,radiated
radios,radio,radioed
radiuses,radius,radiused
raffles,raffle,raffled
rafts,raft,rafted
rages,rage,raged
rags,rag,ragged
raids,raid,raided
railroads,railroad,railroaded
rails,rail,railed
rains,rain,rained
raises,raise,raised
rakes,rake,raked
rallies,rally,rallied
rambles,ramble,rambled
ramifies,ramify,ramified
rampages,rampage,rampaged
ramps,ramp,ramped
rams,ram,rammed
ranches,ranch,ranched
randomizes,randomize,randomized
ranges,range,ranged
rankles,rankle,rankled
ranks,rank,ranked
ransacks,ransack,ransacked
ransoms,ransom,ransomed
rants,rant,ranted
rapes,rape,raped
raps,rap,rapped
rarefies,rarefy,rarefied
rasps,rasp,rasped
ratchets,ratchet,ratcheted
rates,rate,rated
ratifies,ratify,ratified
rationalizes,rationalize,rationalized
rations,ration,rationed
ratios,ratio,ratioed
rats,rat,ratted
rattles,rattle,rattled
ravages,ravage,ravaged
ravels,ravel,ravelled
raves,rave,raved
ravishes,ravish,ravished
rays,ray,rayed
razes,raze,razed
razors,razor,razored
re-binds,rebind,re-bound
re-does,redo,redid
re-installs,reinstall,reinstalled
re-sends,resend,re-sent
reaches,reach,reached
reactivates,reactivate,reactivated
reacts,react,reacted
readies,ready,readied
readjusts,readjust,readjusted
readmits,readmit,readmitted
reads,read,read
reaffirms,reaffirm,reaffirmed
realigns,realign,realigned
realizes,realize,realized
reallocates,reallocate,reallocated
reams,ream,reamed
reanimates,reanimate,reanimated
reappears,reappear,reappeared
reapplies,reapply,reapplied
reappoints,reappoint,reappointed
reapportions,reapportion,reapportioned
reappraises,reappraise,reappraised
reaps,reap,reaped
rearms,rearm,rearmed
rearranges,rearrange,rearranged
rears,rear,reared
reasons,reason,reasoned
reassembles,reassemble,reassembled
reasserts,reassert,reasserted
reassesses,reassess,reassessed
reassigns,reassign,reassigned
reassures,reassure,reassured
reawakens,reawaken,reawakened
rebates,rebate,rebated
rebels,rebel,rebelled
rebounds,rebound,rebounded
rebroadcasts,rebroadcast,rebroadcast
rebuffs,rebuff,rebuffed
rebuilds,rebuild,rebuilt
rebukes,rebuke,rebuked
rebuts,rebut,rebutted
recalls,recall,recalled
recants,recant,recanted
recapitulates,recapitulate,recapitulated
recaps,recap,recapped
recaptures,recapture,recaptured
recasts,recast,recast
recedes,recede,receded
receipts,receipt,receipted
receives,receive,received
recenters,recenter,recentered
recesses,recess,recessed
recharges,recharge,recharged
rechecks,recheck,rechecked
reciprocates,reciprocate,reciprocated
recites,recite,recited
reckons,reckon,reckoned
reclaims,reclaim,reclaimed
reclassifies,reclassify,reclassified
reclines,recline,reclined
recognizes,recognize,recognized
recoils,recoil,recoiled
recollects,recollect,recollected
recombines,recombine,recombined
recommences,recommence,recommenced
recommends,recommend,recommended
recompenses,recompense,recompensed
recompiles,recompile,recompiled
reconciles,reconcile,reconciled
reconditions,recondition,reconditioned
reconnects,reconnect,reconnected
reconnoiters,reconnoiter,reconnoitered
reconnoitres,reconnoitre,reconnoitred
reconquers,reconquer,reconquered
reconsiders,reconsider,reconsidered
reconstitutes,reconstitute,reconstituted
reconstructs,reconstruct,reconstructed
reconvenes,reconvene,reconvened
recopies,recopy,recopied
records,record,recorded
recounts,recount,recounted
recoups,recoup,recouped
recovers,recover,recovered
recreates,recreate,recreated
recriminates,recriminate,recriminated
recruits,recruit,recruited
rectifies,rectify,rectified
recuperates,recuperate,recuperated
recurs,recur,recurred
recycles,recycle,recycled
reddens,redden,reddened
redecorates,redecorate,redecorated
rededicates,rededicate,rededicated
redeems,redeem,redeemed
redefines,redefine,redefined
redeploys,redeploy,redeployed
redesigns,redesign,redesigned
redevelops,redevelop,redeveloped
redirects,redirect,redirected
rediscovers,rediscover,rediscovered
redistributes,redistribute,redistributed
redistricts,redistrict,redistricted
redoubles,redouble,redoubled
redounds,redound,redounded
redrafts,redraft,redrafted
redraws,redraw,redrew
redresses,redress,redressed
reduces,reduce,reduced
reefs,reef,reefed
reeks,reek,reeked
reels,reel,reeled
reeves,reeve,reeved
refashions,refashion,refashioned
referees,referee,refereed
references,reference,referenced
refers,refer,referred
refills,refill,refilled
refinances,refinance,refinanced
refines,refine,refined
refinishes,refinish,refinished
refits,refit,refitted
reflects,reflect,reflected
refocuses,refocus,refocused
reforests,reforest,reforested
reforms,reform,reformed
reformulates,reformulate,reformulated
refracts,refract,refracted
refrains,refrain,refrained
refreshes,refresh,refreshed
refrigerates,refrigerate,refrigerated
refs,ref,reffed
refuels,refuel,refueled
refunds,refund,refunded
refurbishes,refurbish,refurbished
refurnishes,refurnish,refurnished
refuses,refuse,refused
refutes,refute,refuted
regains,regain,regained
regales,regale,regaled
regards,regard,regarded
regenerates,regenerate,regenerated
regiments,regiment,regimented
registers,register,registered
regresses,regress,regressed
regrets,regret,regretted
regroups,regroup,regrouped
regularizes,regularize,regularized
regulates,regulate,regulated
regurgitates,regurgitate,regurgitated
rehabilitates,rehabilitate,rehabilitated
rehashes,rehash,rehashed
rehearses,rehearse,rehearsed
reheats,reheat,reheated
reigns,reign,reigned
reimburses,reimburse,reimbursed
reimposes,reimpose,reimposed
reincarnates,reincarnate,reincarnated
reinforces,reinforce,reinforced
reins,rein,reined
reinserts,reinsert,reinserted
reinstates,reinstate,reinstated
reinterprets,reinterpret,reinterpreted
reinvents,reinvent,reinvented
reinvests,reinvest,reinvested
reissues,reissue,reissued
reiterates,reiterate,reiterated
rejects,reject,rejected
rejoices,rejoice,rejoiced
rejoins,rejoin,rejoined
rejuvenates,rejuvenate,rejuvenated
rekindles,rekindle,rekindled
relabels,relabel,relabeled
relapses,relapse,relapsed
relates,relate,related
relaxes,relax,relaxed
relays,relay,relayed
relearns,relearn,relearned
releases,release,released
relegates,relegate,relegated
relents,relent,relented
relies,rely,relied
relieves,relieve,relieved
relinquishes,relinquish,relinquished
relishes,relish,relished
relives,relive,relived
reloads,reload,reloaded
relocates,relocate,relocated
remainders,remainder,remaindered
remains,remain,remained
remakes,remake,remade
remands,remand,remanded
remarks,remark,remarked
remarries,remarry,remarried
rematches,rematch,rematched
remedies,remedy,remedied
remembers,remember,remembered
reminds,remind,reminded
reminisces,reminisce,reminisced
remisses,remiss,remissed
remits,remit,remitted
remodels,remodel,remodeled
remonstrates,remonstrate,remonstrated
remounts,remount,remounted
removes,remove,removed
remunerates,remunerate,remunerated
renames,rename,renamed
renders,render,rendered
rendezvous,rendezvous,rendezvoused
rends,rend,rent
reneges,renege,reneged
renegotiates,renegotiate,renegotiated
renegues,renegue,renegued
renews,renew,renewed
rennets,rennet,renneted
renounces,renounce,renounced
renovates,renovate,renovated
rents,rent,rented
renumbers,renumber,renumbered
reoccupies,reoccupy,reoccupied
reoccurs,reoccur,reoccurred
reopens,reopen,reopened
reorders,reorder,reordered
reorganizes,reorganize,reorganized
repackages,repackage,repackaged
repaints,repaint,repainted
repairs,repair,repaired
repatriates,repatriate,repatriated
repays,repay,repaid
repeals,repeal,repealed
repeats,repeat,repeated
repels,repel,repelled
repents,repent,repented
rephrases,rephrase,rephrased
replaces,replace,replaced
replays,replay,replayed
replenishes,replenish,replenished
repletes,replete,repleted
replicates,replicate,replicated
replies,reply,replied
reports,report,reported
reposes,repose,reposed
repossesses,repossess,repossessed
reprehends,reprehend,reprehended
represents,represent,represented
represses,repress,repressed
reprieves,reprieve,reprieved
reprimands,reprimand,reprimanded
reprints,reprint,reprinted
reprises,reprise,reprised
reproaches,reproach,reproached
reprobates,reprobate,reprobated
reprocesses,reprocess,reprocessed
reproduces,reproduce,reproduced
reproofs,reproof,reproofed
reproves,reprove,reproved
republishes,republish,republished
repudiates,repudiate,repudiated
repulses,repulse,repulsed
requests,request,requested
requires,require,required
requisitions,requisition,requisitioned
requites,requite,requited
rereads,reread,reread
reroutes,reroute,rerouted
reruns,rerun,reran
reschedules,reschedule,rescheduled
rescinds,rescind,rescinded
rescues,rescue,rescued
researches,research,researched
resells,resell,resold
resembles,resemble,resembled
resents,resent,resented
reserves,reserve,reserved
resets,reset,reset
resettles,resettle,resettled
reshuffles,reshuffle,reshuffled
resides,reside,resided
resigns,resign,resigned
resists,resist,resisted
resolves,resolve,resolved
resonates,resonate,resonated
resorts,resort,resorted
resounds,resound,resounded
resources,resource,resourced
respects,respect,respected
respells,respell,respelled
respires,respire,respired
responds,respond,responded
restarts,restart,restarted
restates,restate,restated
restocks,restock,restocked
restores,restore,restored
restrains,restrain,restrained
restricts,restrict,restricted
rests,rest,rested
restudies,restudy,restudied
resubmits,resubmit,resubmitted
results,result,resulted
resumes,resume,resumed
resupplies,resupply,resupplied
resurfaces,resurface,resurfaced
resurrects,resurrect,resurrected
resuscitates,resuscitate,resuscitated
retails,retail,retailed
retains,retain,retained
retakes,retake,retook
retaliates,retaliate,retaliated
retards,retard,retarded
retches,retch,retched
retells,retell,retold
rethinks,rethink,rethought
retires,retire,retired
retools,retool,retooled
retorts,retort,retorted
retouches,retouch,retouched
retraces,retrace,retraced
retracts,retract,retracted
retrains,retrain,retrained
retreads,retread,retreaded
retreats,retreat,retreated
retrenches,retrench,retrenched
retries,retry,retried
retrieves,retrieve,retrieved
retrogrades,retrograde,retrograded
retrogresses,retrogress,retrogressed
retrospects,retrospect,retrospected
returns,return,returned
retypes,retype,retyped
reunifies,reunify,reunified
reunites,reunite,reunited
reupholsters,reupholster,reupholstered
reuses,reuse,reused
revalues,revalue,revalued
revamps,revamp,revamped
reveals,reveal,revealed
revels,revel,reveled
revenges,revenge,revenged
reverberates,reverberate,reverberated
reveres,revere,revered
reverses,reverse,reversed
reverts,revert,reverted
reviews,review,reviewed
reviles,revile,reviled
revises,revise,revised
revisits,revisit,revisited
revitalizes,revitalize,revitalized
revives,revive,revived
revivifies,revivify,revivified
revokes,revoke,revoked
revolts,revolt,revolted
revolutionizes,revolutionize,revolutionized
revolves,revolve,revolved
revs,rev,revved
rewards,reward,rewarded
rewinds,rewind,rewound
rewires,rewire,rewired
rewords,reword,reworded
reworks,rework,reworked
rewrites,rewrite,rewrote
rhapsodizes,rhapsodize,rhapsodized
rhymes,rhyme,rhymed
ribs,rib,ribbed
ricks,rick,ricked
ricochets,ricochet,ricocheted
riddles,riddle,riddled
rides,ride,rode
ridges,ridge,ridged
ridicules,ridicule,ridiculed
rids,rid,rid
riffles,riffle,riffled
riffs,riff,riffed
rifles,rifle,rifled
rights,right,righted
rigors,rigor,rigored
rigs,rig,rigged
riles,rile,riled
rills,rill,rilled
rimes,rime,rimed
rims,rim,rimmed
rings,ring,rang
rinses,rinse,rinsed
riots,riot,rioted
ripens,ripen,ripened
ripostes,riposte,riposted
ripples,ripple,rippled
rips,rip,ripped
rises,rise,rose
risks,risk,risked
rivals,rival,rivaled
rivets,rivet,riveted
roams,roam,roamed
roars,roar,roared
roasts,roast,roasted
robes,robe,robed
robs,rob,robbed
rockets,rocket,rocketed
rocks,rock,rocked
rods,rod,rodded
roils,roil,roiled
roisters,roister,roistered
rolls,roll,rolled
romanticizes,romanticize,romanticized
romps,romp,romped
roofs,roof,roofed
rooks,rook,rooked
rooms,room,roomed
roosts,roost,roosted
roots,root,rooted
ropes,rope,roped
rosettes,rosette,rosetted
rosins,rosin,rosined
rosters,roster,rostered
rotates,rotate,rotated
rots,rot,rotted
rouges,rouge,rouged
roughens,roughen,roughened
roughhouses,roughhouse,roughhoused
roughs,rough,roughed
rounds,round,rounded
rouses,rouse,roused
routes,route,routed
routinizes,routinize,routinized
routs,rout,routed
roves,rove,roved
rowels,rowel,roweled
rows,row,rowed
rubberizes,rubberize,rubberized
rubbernecks,rubberneck,rubbernecked
rubs,rub,rubbed
rues,rue,rued
ruffles,ruffle,ruffled
ruffs,ruff,ruffed
ruins,ruin,ruined
rules,rule,ruled
rumbles,rumble,rumbled
ruminates,ruminate,ruminated
rummages,rummage,rummaged
rumors,rumor,rumored
rumples,rumple,rumpled
runs,run,ran
ruptures,rupture,ruptured
rushes,rush,rushed
rusks,rusk,rusked
rustles,rustle,rustled
rusts,rust,rusted
ruts,rut,rutted
sabers,saber,sabered
sabotages,sabotage,sabotaged
sacks,sack,sacked
sacrifices,sacrifice,sacrificed
saddens,sadden,saddened
saddles,saddle,saddled
safeguards,safeguard,safeguarded
safes,safe,safed
sags,sag,sagged
sails,sail,sailed
salaams,salaam,salaamed
salaries,salary,salaried
salivates,salivate,salivated
sallies,sally,sallied
sallows,sallow,sallowed
salts,salt,salted
salutes,salute,saluted
salvages,salvage,salvaged
salves,salve,salved
sambas,samba,sambaed
samples,sample,sampled
sanctifies,sanctify,sanctified
sanctions,sanction,sanctioned
sandbags,sandbag,sandbagged
sandblasts,sandblast,sandblasted
sandpapers,sandpaper,sandpapered
sands,sand,sanded
sandwiches,sandwich,sandwiched
sanitizes,sanitize,sanitized
saps,sap,sapped
sates,sate,sated
satiates,satiate,satiated
satins,satin,satined
satirizes,satirize,satirized
satisfies,satisfy,satisfied
saturates,saturate,saturated
saunters,saunter,sauntered
savages,savage,savaged
saves,save,saved
savors,savor,savored
savours,savour,savoured
savvies,savvy,savvied
saws,saw,sawed
says,say,said
scabs,scab,scabbed
scaffolds,scaffold,scaffolded
scalds,scald,scalded
scales,scale,scaled
scallops,scallop,scalloped
scalps,scalp,scalped
scampers,scamper,scampered
scamps,scamp,scamped
scams,scam,scammed
scandalizes,scandalize,scandalized
scans,scan,scanned
scants,scant,scanted
scapegoats,scapegoat,scapegoated
scares,scare,scared
scarifies,scarify,scarified
scars,scar,scarred
scats,scat,scatted
scatters,scatter,scattered
scavengers,scavenger,scavengered
scavenges,scavenge,scavenged
scents,scent,scented
schedules,schedule,scheduled
schemes,scheme,schemed
schools,school,schooled
schusses,schuss,schussed
scintillates,scintillate,scintillated
scissors,scissor,scissored
scoffs,scoff,scoffed
scolds,scold,scolded
